wavelength,mean_flux,median_flux,rms_flux,snr,n_spectra,mean_flux_smoothed
2688.0,16.891129902531105,15.042805519996904,3.156373927061068,5.351434998786284,21,17.014429926700835
2692.0,17.39390722031624,14.69920403203458,3.1770624873877393,5.474839506420269,22,17.11580534186959
2696.0,16.98777177006082,12.98712371983136,3.364123458595198,5.0496873789390095,22,17.258389793038102
2700.0,16.828950401721535,15.41521128760226,3.906200650739708,4.308265730930815,24,17.526224030966155
2704.0,18.190189670560823,15.738340431843453,3.4319205569558475,5.300294505271336,25,17.467688242811082
2708.0,18.230301092171377,15.062766011887469,3.7103553635444273,4.9133571601498405,25,17.741336289302154
2712.0,17.101228279540873,15.579794731122844,3.2180517096158514,5.314155837968899,25,17.92069642599069
2716.0,18.35601200251619,14.788428719690335,3.872990817123888,4.739492776837386,25,18.02091319438995
2720.0,17.72575108516422,16.025434394296934,2.7483998086084003,6.4494805412387635,25,17.950776584216804
2724.0,18.691273512557117,17.08962874948046,3.575857138771823,5.22707501647476,26,18.17479744419957
2728.0,17.879618041305637,14.715903438793672,4.250476953253938,4.206496879748508,26,18.116185609699087
2732.0,18.22133257945471,16.939383885081597,4.493160037883346,4.055349114170098,26,18.336713961645387
2736.0,18.06295283001377,15.097051067284024,2.594235347657201,6.9627271274080975,26,18.231509017270245
2740.0,18.82839284489573,16.26897963007106,5.830234593086312,3.22944000696354,27,18.350657092287207
2744.0,18.165248790681392,15.122141135560566,3.028757634915602,5.997590755124114,27,18.492611785573132
2748.0,18.475358416390463,15.226572959039814,3.294532519798141,5.607884671152818,30,18.552518112919607
2752.0,18.931106045884317,17.020832775378064,3.1591946487315288,5.992383550499328,31,18.649140744545022
2756.0,18.36248446674615,16.61491227029341,3.8570034585491304,4.760816178695746,31,18.840085313422335
2760.0,19.31150600302281,16.305103067467577,4.661491771506273,4.142773804957863,31,18.909093432136835
2764.0,19.11997163506796,16.36293296932691,4.594969182996628,4.1610663474784815,33,19.274536949893815
2768.0,18.82039900996297,16.71341621101957,4.168827401797642,4.514554620766361,33,19.776287626625557
2772.0,20.7583236346692,17.147927382051797,5.120183387478841,4.054214871567426,33,19.97665935152963
2776.0,20.87123785040487,17.331579013106165,4.738302265712238,4.404792408756897,33,20.53994692955444
2780.0,20.313364627543184,16.99737562111413,3.811504203634527,5.329487662160524,34,21.506019632734418
2784.0,21.936409525192,20.289235447493123,5.504618167158705,3.9850919462620635,35,22.393887373397675
2788.0,23.650762525862863,21.58980056758378,4.688397678674455,5.044529953898795,35,23.836610996151087
2792.0,25.19766233798548,21.32560175849378,5.026396130420344,5.013067351672951,35,25.702550398982037
2796.0,28.08485596417193,25.7587524661686,5.103581835894581,5.502969652929858,35,26.77787151391433
2800.0,29.64306164169795,28.16297791271434,6.22914902397064,4.7587658486941455,37,27.25990206286945
2804.0,27.31301509985346,23.619060193870908,6.453694128134549,4.232152091123093,37,26.99511142650096
2808.0,26.060915270638468,22.683540449909856,6.191819589960975,4.208926777015917,38,25.97506677418592
2812.0,23.87370915614303,22.15056435170153,4.72175836541684,5.056105651445262,39,24.29317151948491
2816.0,22.984632702596723,19.827444242286916,4.0323282749996165,5.700089659143367,39,22.96008573052796
2820.0,21.23358536819291,19.0282790861797,3.617179585284731,5.87020491174244,39,21.70764077179658
2824.0,20.64758615506871,19.573414225427225,3.869296051595697,5.336264240249502,39,20.964237552353087
2828.0,19.798690476981548,16.35220585682591,3.775304860933715,5.2442627036177685,41,20.173132037240514
2832.0,20.15669305892557,17.607857990285652,3.678221830527512,5.480010175469705,44,19.758805963341512
2836.0,19.029105127033866,16.460823363715537,3.926829883787702,4.845920421864307,45,19.544313811551763
2840.0,19.161954998697897,17.02752173431421,3.6375147908937255,5.2678699882316815,45,19.241629150913223
2844.0,19.57512539611997,17.43283287891862,3.690183242069552,5.304648607406749,45,18.680706665571122
2848.0,18.28526717378884,16.912016856365415,3.3343772204272253,5.483862792058662,45,18.313770668077712
2852.0,17.352080632215063,16.44987189054707,3.30700196852874,5.24707296740282,45,17.97214645421378
2856.0,17.194425139566818,14.514473538352716,3.703058097974424,4.643304178503757,45,17.534500950571687
2860.0,17.453833929378256,16.50826294269506,3.354735694561827,5.202744871279035,46,17.478324250136794
2864.0,17.386897877909483,15.936372996842351,3.312181386014023,5.2493797445173715,46,17.53392997685082
2868.0,18.004383671614374,14.94377477837014,3.787927829198208,4.753095751411232,49,17.414753602703396
2872.0,17.63010926578521,16.476731071723062,3.443061225563551,5.120475097825064,49,17.216993841476075
2876.0,16.598543268829683,14.847741053232276,3.74199496464605,4.435747088291369,50,16.933201009752405
2880.0,16.465035123241655,14.248575412729895,3.3840191766210936,4.86552654222303,51,16.70517354047726
2884.0,15.96793371929113,14.828001619699895,2.895605030767745,5.514541365145152,51,16.399221001025154
2888.0,16.864246325238646,15.156646180491984,3.39330867386899,4.969853304270823,51,16.350387500975597
2892.0,16.10034656852469,13.86582990184045,2.808787988894925,5.732133088072313,51,16.375994893665283
2896.0,16.35437576858189,14.758526809933208,2.592408574938062,6.308564138649568,51,16.398613888966004
