-664565554472123802 EUCL J042549.57-471244.6    66.456555   -47.212380 QSO       1.3085       1939         41       1.7672      -3.0410      12.8470 4789111671477657216  0.779218256473541260      20.5848       0.0035      20.2843       0.0175      20.1097       0.0157      20.1032       0.0124
-663725335475808806 EUCL J042529.41-473451.2    66.372534   -47.580881 QSO       1.3085       2660          6      10.2393      -2.8230      14.4571 4788729930487848832  0.856289029121398926      19.6965       0.0026      19.5457       0.0088      19.3866       0.0077      19.4065       0.0074
-663458323479296921 EUCL J042523.00-475546.9    66.345832   -47.929692 QSO       1.2470       2554          0       5.4650      -3.1213      13.7492                      0.665160953998565674      21.6394       0.0075      20.7644       0.0144      20.3799       0.0121      20.2527       0.0111
-663259493471046610 EUCL J042518.23-470616.8    66.325949   -47.104661 QSO       2.4388       2748          0       2.8472      -3.0500      12.1908 4789300821837659264                            20.9937       0.0040      20.6369       0.0135      20.7782       0.0132      20.8340       0.0138
-663096054466962424 EUCL J042514.31-464146.5    66.309605   -46.696242 QSO       1.2993       2478          0       7.6533      -2.7865      20.3115                      0.799354016780853271      21.2277       0.0044      20.4276       0.0141      20.1285       0.0099      19.8079       0.0091
-662945056473799656 EUCL J042510.68-472247.9    66.294506   -47.379966 QSO       1.4050       2832          8       4.8367      -3.1600      13.9283 4788921284167513472  0.925828933715820312      20.3213       0.0028      20.2236       0.0122      20.0923       0.0111      19.8966       0.0096
-662923461466679624 EUCL J042510.16-464004.7    66.292346   -46.667962 QSO       0.9303       2576          4       3.2940      -2.8867      13.7244 4789339957579579776  0.745801389217376709      20.5072       0.0038      20.2948       0.0137      20.0485       0.0107      20.0787       0.0115
-662719651469602486 EUCL J042505.27-465736.9    66.271965   -46.960249 QSO       1.4659       2366          0       8.7264      -2.9348      14.0149 4789310884944546048  0.778146326541900635      20.2500       0.0029      20.0354       0.0109      19.8732       0.0081      19.6344       0.0074
-662654718467087104 EUCL J042503.71-464231.4    66.265472   -46.708710 QSO       1.7196       2280          0      21.0262      -3.0969      17.2918 4789338308312142080  0.916258752346038818      18.3459       0.0013      18.2972       0.0062      18.4507       0.0062      18.2615       0.0046
-662526374476668991 EUCL J042500.63-474000.8    66.252637   -47.666899 QSO       2.6964       2214         13       4.2880      -3.0590      14.6172 4788723268995642624                            20.4326       0.0037      19.7966       0.0113      19.8420       0.0116      19.7644       0.0102
